Date       UT      R.A. (J2000) Decl.    Delta     r     El.    Ph.   m1     Sky Motion
            h m s                                                            "/min    P.A.
2020 06 17 000000  073.293   +05.166     1.382   0.578   21.8  40.6   4.3    2.55    102.7
2020 06 18 000000  074.277   +04.954     1.409   0.602   22.0  39.2   4.5    2.47    101.8
2020 06 19 000000  075.233   +04.761     1.435   0.626   22.2  37.9   4.7    2.39    101.0
2020 06 20 000000  076.162   +04.587     1.461   0.649   22.4  36.6   4.9    2.32    100.4
2020 06 21 000000  077.065   +04.427     1.486   0.673   22.6  35.5   5.1    2.25    099.8
2020 06 22 000000  077.944   +04.280     1.510   0.696   22.8  34.5   5.3    2.19    099.3
2020 06 23 000000  078.798   +04.145     1.535   0.719   23.0  33.6   5.5    2.13    098.8
2020 06 24 000000  079.630   +04.019     1.559   0.742   23.3  32.7   5.7    2.07    098.4
2020 06 25 000000  080.441   +03.901     1.582   0.765   23.5  31.9   5.8    2.01    098.1
2020 06 26 000000  081.230   +03.791     1.605   0.788   23.7  31.2   6.0    1.96    097.8
2020 06 27 000000  081.999   +03.687     1.628   0.810   23.9  30.5   6.1    1.91    097.6
2020 06 28 000000  082.750   +03.588     1.650   0.833   24.1  29.9   6.3    1.86    097.4
2020 06 29 000000  083.482   +03.494     1.672   0.855   24.3  29.3   6.4    1.82    097.2
2020 06 30 000000  084.196   +03.405     1.694   0.877   24.5  28.7   6.6    1.78    097.1
2020 07 01 000000  084.894   +03.318     1.715   0.899   24.7  28.2   6.7    1.73    097.0
2020 07 02 000000  085.575   +03.235     1.736   0.920   24.9  27.7   6.8    1.69    096.9
2020 07 03 000000  086.241   +03.155     1.757   0.942   25.1  27.3   7.0    1.66    096.9
2020 07 04 000000  086.892   +03.077     1.778   0.963   25.4  26.9   7.1    1.62    096.8
2020 07 05 000000  087.529   +03.001     1.798   0.984   25.6  26.5   7.2    1.58    096.8
2020 07 06 000000  088.152   +02.926     1.817   1.005   25.8  26.2   7.3    1.55    096.8
2020 07 07 000000  088.761   +02.853     1.837   1.026   26.1  25.8   7.4    1.52    096.9
2020 07 08 000000  089.358   +02.781     1.856   1.047   26.3  25.5   7.5    1.49    096.9
